string, subtlex_uk.zipf, subtlex_uk.DomPoS
0, , 
0, , 
acceptal,1.17,adjective
acceptance,3.52,noun
acceptances,1.3,noun
acceptation,1.39,noun
accepted,4.38,verb
acceptible,1.17,adjective
accepting,3.72,verb
accepts,3.5,verb
acceso,1.3,noun
access,4.75,noun
accessability,1.17,noun
accessed,3.04,verb
accesses,1.95,verb
accessibility,2.88,noun
accessible,3.77,adjective
accessibly,1.17,adverb
accessing,3.08,verb
accession,2.88,noun
accessories,3.45,noun
accessorise,2.34,verb
accessorised,2.02,verb
accessorising,1.84,verb
accessorize,1.7,noun
accessorized,1.17,verb
accessory,3.32,adjective
accesssory,1.54,noun
accia,1.17,unclassified
accident,4.68,noun
accidental,3.44,adjective
accidentally,3.76,adverb
accidently,2.02,adverb
accidents,3.99,noun
accidie,1.17,noun
accies,2.34,name
acclaim,3.09,noun
acclaimed,3.17,adjective
acclaiming,1.17,verb
acclaims,1.3,verb
acclamation,1.84,noun
acclimate,1.3,verb
acclimated,1.3,verb
acclimatisation,2.06,noun
acclimatise,2.44,verb
acclimatised,2.39,verb
acclimatising,1.97,verb
acclimatize,1.17,verb
accolade,3.21,noun
accolades,2.81,noun
accommodate,3.67,verb
accommodated,2.65,verb
accommodates,2.08,verb
accommodating,2.94,verb
accommodation,4.21,noun
accommodations,2.23,noun
accomodation,1.65,noun
accompaniament,1.3,noun
accompanied,3.66,verb
accompanies,2.55,verb
accompaniment,3.09,noun
accompaniments,2.41,noun
accompanist,2.31,noun
accompanists,1.17,noun
accompany,3.44,verb
accompanying,3.14,verb
accompanyment,1.17,noun
accompanyments,1.17,noun
accompanys,1.17,verb
accompli,2.16,noun
accomplice,3.14,noun
accomplices,2.6,noun
accomplish,3.07,verb
accomplished,3.76,verb
accomplishes,1.7,verb
accomplishing,1.93,verb
accomplishment,2.81,noun
accomplishments,2.5,noun
accord,3.25,noun
accordance,3.19,noun
accordant,1.17,adjective
accorded,2.43,verb
accordian,1.39,noun
accordin,1.17,name
according,4.79,verb
accordingly,3.36,adverb
accordion,3.42,noun
accordionist,1.93,noun
accordionists,1.6,noun
accordions,2.55,noun
accords,2.08,noun
accost,1.7,verb
accosted,2.37,verb
accosting,1.74,verb
accosts,1.17,verb
account,4.67,noun
accountabilities,1.17,noun
accountability,3.81,noun
accountable,3.78,adjective
accountancy,3.1,noun
accountant,3.68,noun
accountants,3.25,noun
accountany,1.84,noun
accountcy,1.17,noun
accounted,3.18,verb
accountibility,2.11,noun
accounting,3.43,noun
accounts,4.25,noun
accountsly,1.3,adverb
accoutred,1.39,verb
accoutrement,1.81,noun
